work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_location,company_size
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,157500,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,132500,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,85000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,75000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,93918,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,51962,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Analyst,171000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Analyst,152000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,223600,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,115000,0,US,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,166000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,73100,0,US,M
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Developer,140000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Business Intelligence Developer,110000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,130900,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,72700,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,333500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,144000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,180000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Business Intelligence Engineer,118200,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,354200,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,221800,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,166000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,73000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,156600,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Engineer,137200,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,149000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,65300,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,187000,100,US,M
2023,Mid-level / Intermediate,Full-Time,Data Engineer,180000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,119636,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,70374,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,105000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,67000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,102000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,94770,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,186000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Architect,81800,0,US,M
2023,Entry-level / Junior,Full-Time,Data Scientist,133000,0,US,M
2023,Entry-level / Junior,Full-Time,Data Scientist,58400,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,169900,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Analytics Engineer,164100,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,305600,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,172500,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,105000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Analyst,75000,100,US,M
2023,Entry-level / Junior,Full-Time,Analytics Engineer,37573,100,NL,M
2022,Entry-level / Junior,Full-Time,AI Research Engineer,36940,100,GB,L
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,180240,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,120160,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,212000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Scientist,93400,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,275000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Machine Learning Engineer,170000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,119000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,71400,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,115950,0,US,M
2023,Mid-level / Intermediate,Full-Time,Data Analyst,69570,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,225100,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,140900,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Science Consultant,116000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Science Consultant,90000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,212000,0,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Data Scientist,93300,0,US,M
2023,Mid-level / Intermediate,Full-Time,ML Engineer,179000,0,US,M
2023,Mid-level / Intermediate,Full-Time,ML Engineer,144000,0,US,M
2023,Entry-level / Junior,Full-Time,Research Scientist,250800,0,US,M
2023,Entry-level / Junior,Full-Time,Research Scientist,167200,0,US,M
2023,Mid-level / Intermediate,Full-Time,Research Scientist,144000,0,US,M
2023,Mid-level / Intermediate,Full-Time,Research Scientist,76000,0,US,M
2023,Executive-level / Director,Full-Time,Data Lead,230000,0,US,M
2023,Executive-level / Director,Full-Time,Data Lead,180000,0,US,M
2023,Entry-level / Junior,Full-Time,Data Scientist,156450,100,US,M
2023,Entry-level / Junior,Full-Time,Data Scientist,119200,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,150000,100,US,M
2023,Senior-level / Executive-level / Directorpert,Full-Time,Research Scientist,130000,100,US,M
2023,Executive-level / Director,Full-Time,Head of Data,247500,0,US,M
